Event      | New (Y,X)  | Power Started   | Power Consumed  | Power Final    
Cleaning   | (0,41)     | 210.00          | 1.00            | 209.00         
Cleaning   | (0,42)     | 209.00          | 1.00            | 208.00         
Cleaning   | (0,43)     | 208.00          | 1.00            | 207.00         
Cleaning   | (0,44)     | 207.00          | 1.00            | 206.00         
Cleaning   | (0,45)     | 206.00          | 1.00            | 205.00         
Cleaning   | (0,46)     | 205.00          | 1.00            | 204.00         
Cleaning   | (0,47)     | 204.00          | 1.00            | 203.00         
Cleaning   | (0,48)     | 203.00          | 1.00            | 202.00         
Cleaning   | (0,49)     | 202.00          | 1.00            | 201.00         
Cleaning   | (0,0)      | 201.00          | 1.00            | 200.00         
